LShoulderRoll,LElbowRoll,LHipRoll,RShoulderRoll,RElbowRoll,RHipRoll
80.53767779197439,148.2405199151872,90.0,103.57043438516149,83.418055344822,85.71084667118099
80.53767779197439,148.2405199151872,90.0,103.13402230639633,83.418055344822,87.20729763428672
80.21759296819272,146.30993247402023,90.0,101.6893691754392,85.76360520094116,87.13759477388825
78.69006752597979,148.84069549165562,90.0,103.57043438516149,83.6598082540901,85.8150838748816
80.53767779197439,148.2405199151872,90.0,101.6893691754392,85.60129464500447,85.8150838748816
78.3106308245608,147.87500155961249,90.0,101.6893691754392,85.60129464500447,85.8150838748816
78.3106308245608,148.84069549165562,90.0,103.57043438516149,83.418055344822,87.20729763428672
80.21759296819272,148.2405199151872,91.36392753160293,101.6893691754392,85.60129464500447,87.13759477388825
80.21759296819272,147.2647737278924,90.0,101.30993247402021,85.60129464500447,85.8150838748816
80.21759296819272,148.2405199151872,90.0,101.6893691754392,85.60129464500447,85.8150838748816
80.21759296819272,148.84069549165562,90.0,103.57043438516149,85.60129464500447,85.71084667118099
80.53767779197439,162.52522574374433,88.63607246839707,112.9321004375898,100.30484646876603,84.55966796899449
79.04593735660167,-176.82016988013575,91.36392753160293,128.99099404250546,153.434948822922,88.63607246839707
78.3106308245608,-154.33480853782643,90.0,158.19859051364818,-142.59464336859145,88.66778014613037
79.50852298766841,-135.0,94.08561677997488,-159.77514056883192,-106.26020470831196,88.69804732742112
77.9052429229879,-120.25643716352927,90.0,-139.7636416907262,-68.96248897457819,83.36748538486154
78.69006752597979,-112.79652146794261,88.56790381583535,-122.90524292298791,-37.30394827798343,84.68545433005525
79.11447294534128,-112.79652146794261,90.0,-123.69006752597979,-33.690067525979785,84.8055710922652
79.50852298766841,-115.01689347810004,90.0,-127.40535663140857,-49.635463426902646,84.8055710922652
80.13419305691563,-121.48746936421398,90.0,-133.26429541107163,-84.28940686250037,85.0302592718897
79.50852298766841,-125.98679564435727,88.60281897270363,-136.63657704161673,-101.30993247402021,84.92039213998542
81.2538377374448,-126.19320730556468,88.63607246839707,-139.89909245378777,-99.46232220802563,85.0302592718897
79.11447294534128,-121.94475277620342,87.33699923393286,-135.0,-86.30861401354873,83.79655209830817
77.0053832080835,-116.84729411334885,88.63607246839707,-133.26429541107163,-64.29004621918874,85.0302592718897
76.50426671920418,-111.28640511365909,90.0,-124.38034472384487,-42.27368900609374,83.6598082540901
74.35775354279127,-110.9848978358822,88.56790381583535,-123.69006752597979,-36.46923439005187,84.92039213998542
74.9315118405078,-111.18134950026624,90.0,-118.81079374297306,-49.18491612511841,83.6598082540901
77.0053832080835,-116.02959219151346,88.69804732742112,-114.22774531795417,-82.14668669802178,85.13548556223948
78.69006752597979,-122.34744349944204,87.33699923393286,-126.86989764584402,-99.7275785514016,85.0302592718897
77.0053832080835,-125.34816653319575,87.33699923393286,-129.47245984834385,-107.35402463626133,84.92039213998542
79.50852298766841,-123.84005613496724,87.39743779750019,-133.26429541107163,-99.46232220802563,84.92039213998542
79.11447294534128,-118.17859010995917,90.0,-128.29016319224309,-74.57783868126133,84.92039213998542
77.47119229084849,-116.56505117707799,91.43209618416465,-129.47245984834385,-49.635463426902646,84.8055710922652
77.9052429229879,-117.5528115767178,90.0,-133.02506598911802,-40.10090754621224,84.8055710922652
79.50852298766841,-120.00492087082402,91.43209618416465,-140.52754015165618,-51.34019174590991,84.68545433005525
79.8753283446022,-126.11934084947974,90.0,-149.03624346792648,-74.35775354279127,84.8055710922652
78.69006752597979,-135.88140399658215,92.72631099390628,-165.37912601136836,-98.42696902148067,87.51044707800085
79.50852298766841,-135.89517371021108,91.39718102729638,-167.7352262721076,-94.39870535499554,86.00908690157023
75.46554491945989,-139.8440003750807,94.18491612511842,180.0,-74.74488129694222,86.18592516570965
59.03624346792648,-150.86570780277384,91.43209618416465,165.37912601136836,-50.906141113770495,85.91438322002513
28.810793742973058,-168.36636600105956,92.79270236571328,155.55604521958347,-38.15722658736906,83.51692630710276
-12.264773727892402,164.38901146632034,90.0,135.0,-38.65980825409009,87.39743779750019
-40.91438322002513,143.65254179111471,90.0,120.96375653207352,-21.80140948635181,87.33699923393286
-63.43494882292201,127.94215335011894,88.66778014613037,104.74356283647074,90.0,90.0
-63.43494882292201,122.0053832080835,90.0,102.2647737278924,92.38594403038883,88.60281897270363
-64.98310652189998,120.43423575344342,91.36392753160293,99.09027692082232,96.3401917459099,87.06432655357884
-49.08561677997488,123.35402575151677,91.36392753160293,99.09027692082232,92.2025981617658,91.39718102729638
-30.579226872489016,129.12260739335687,91.36392753160293,98.74616226255522,90.0,87.13759477388825
-19.093492000485615,132.47388308838046,90.0,96.3401917459099,92.12109639666146,87.06432655357884
-12.528807709151511,135.42440541936148,88.72696997994329,96.11550356628541,96.84277341263095,85.8150838748816
-10.885527054658738,135.84252426074042,88.72696997994329,97.85331330197822,99.09027692082232,87.13759477388825
-10.885527054658738,136.66028236898282,88.69804732742112,100.12467165539782,100.4914770123316,84.28940686250037
-16.26020470831196,136.23640760285613,88.66778014613037,102.9946167919165,102.52880770915151,85.8150838748816
-19.98310652189998,135.84252426074042,88.63607246839707,103.49573328079582,100.88552705465874,84.42780219603621
-19.98310652189998,135.43078721700863,88.63607246839707,99.46232220802563,98.74616226255522,83.0470425318261
-11.309932474020213,137.6025622024998,88.63607246839707,99.09027692082232,96.58194465517802,84.42780219603621
0.0,140.02907358178544,88.66778014613037,98.74616226255522,94.39870535499554,84.55966796899449
8.74616226255521,142.18426739242688,90.0,97.85331330197822,96.84277341263095,84.55966796899449
15.068488159492212,143.82037955202108,88.63607246839707,100.12467165539782,94.39870535499554,85.8150838748816
12.528807709151511,148.26648084658373,90.0,107.10272896905236,102.9946167919165,85.8150838748816
2.2906100426385296,155.7990284088415,90.0,126.86989764584402,124.38034472384487,84.55966796899449
-16.26020470831196,169.27114070198996,88.66778014613037,154.5366549381284,-164.74488129694222,85.8150838748816
-28.810793742973058,-175.29214775562778,90.0,-171.46923439005187,-111.25050550713325,87.39743779750019
-39.472459848343824,-166.15930450834438,91.39718102729638,-147.72435568542238,-76.6075022462489,88.66778014613037
-36.25383773744479,-156.42529379808738,90.0,-138.57633437499737,-52.69605172201657,86.09950625761812
-27.758540601060023,-155.72555886556054,91.50743575877497,-133.26429541107163,-36.02737338510361,84.68545433005525
-24.22774531795417,-156.80140948635182,90.0,-136.8476102659946,-40.36453657309736,87.4551956201869
-31.759480084812793,-158.6293777306568,90.0,-138.3664606634298,-70.01689347810003,86.09950625761812
-30.579226872489016,-162.84757825978818,90.0,-149.03624346792648,-94.39870535499554,86.09950625761812
