Frame,Nase_X,Nase_Y,Nase_Z,Nase_visibility,l_Auge_X,l_Auge_Y,l_Auge_Z,l_Auge_visibility,r_Auge_X,r_Auge_Y,r_Auge_Z,r_Auge_visibility,l_Ohr_X,l_Ohr_Y,l_Ohr_Z,l_Ohr_visibility,r_Ohr_X,r_Ohr_Y,r_Ohr_Z,r_Ohr_visibility,LShoulderRoll_X,LShoulderRoll_Y,LShoulderRoll_Z,LShoulderRoll_visibility,RShoulderRoll_X,RShoulderRoll_Y,RShoulderRoll_Z,RShoulderRoll_visibility,LElbowRoll_X,LElbowRoll_Y,LElbowRoll_Z,LElbowRoll_visibility,RElbowRoll_X,RElbowRoll_Y,RElbowRoll_Z,RElbowRoll_visibility,LWrist_X,LWrist_Y,LWrist_Z,LWrist_visibility,RWrist_X,RWrist_Y,RWrist_Z,RWrist_visibility,LHipRoll_X,LHipRoll_Y,LHipRoll_Z,LHipRoll_visibility,RHipRoll_X,RHipRoll_Y,RHipRoll_Z,RHipRoll_visibility,LKnee_X,LKnee_Y,LKnee_Z,LKnee_visibility,RKnee_X,RKnee_Y,RKnee_Z,RKnee_visibility,LAnkle_X,LAnkle_Y,LAnkle_Z,LAnkle_visibility,RAnkle_X,RAnkle_Y,RAnkle_Z,RAnkle_visibility
1,-0.00821288488805294,-0.6360688209533691,-0.3625146150588989,0.9999858140945435,0.02066996693611145,-0.6531001925468445,-0.3439084589481354,0.9999682903289795,-0.0054171085357666016,-0.6650731563568115,-0.37446993589401245,0.9999819993972778,0.09937521815299988,-0.6316342353820801,-0.2579989731311798,0.9999691247940063,-0.042629424482584,-0.6010059714317322,-0.2345820665359497,0.9999346733093262,0.1847376823425293,-0.458172470331192,-0.14797446131706238,0.9999918937683105,-0.11579538136720657,-0.5205398201942444,-0.04693525284528732,0.9999769926071167,0.21627511084079742,-0.24192127585411072,-0.13834261894226074,0.9927182197570801,-0.1296423226594925,-0.20899845659732819,-0.07150119543075562,0.9693084955215454,0.1942833513021469,-0.018989739939570427,-0.13024738430976868,0.9943200349807739,-0.15224187076091766,-0.017032332718372345,-0.17310023307800293,0.9911240339279175,0.08818595111370087,0.003135101171210408,0.006187312304973602,0.9999916553497314,-0.08595969527959824,-0.0059511177241802216,-0.004323754925280809,0.9999890327453613,0.07652751356363297,0.39547353982925415,0.028503933921456337,0.9893652200698853,-0.06242544949054718,0.3227138817310333,0.0890684649348259,0.9665294885635376,0.07739710807800293,0.7236732840538025,0.22036521136760712,0.9924209713935852,-0.07301212102174759,0.6946375370025635,0.2756360173225403,0.9905534386634827
2,-0.01047865767031908,-0.635317862033844,-0.3745325803756714,0.9999858736991882,0.017994064837694168,-0.6520510315895081,-0.3532353639602661,0.9999678730964661,-0.00895161833614111,-0.6635874509811401,-0.3850889205932617,0.9999821186065674,0.09770067781209946,-0.6285533905029297,-0.2607588768005371,0.9999685883522034,-0.05122837796807289,-0.5983323454856873,-0.24029482901096344,0.9999346733093262,0.18448501825332642,-0.45117494463920593,-0.14019234478473663,0.999991774559021,-0.11964493244886398,-0.5169109106063843,-0.05465910956263542,0.9999780058860779,0.21473141014575958,-0.23615662753582,-0.100293830037117,0.9921010732650757,-0.13742028176784515,-0.20633110404014587,-0.07092821598052979,0.9704278111457825,0.19440637528896332,-0.013218922540545464,-0.08180594444274902,0.9935819506645203,-0.15709741413593292,-0.008318549953401089,-0.16379325091838837,0.9912487864494324,0.08961766213178635,0.0032080013770610094,0.012804589234292507,0.9999915361404419,-0.08743017166852951,-0.006012644153088331,-0.010852394625544548,0.9999892115592957,0.08428385853767395,0.39887216687202454,0.030000071972608566,0.9880402684211731,-0.057210229337215424,0.32272422313690186,0.06939598172903061,0.9658649563789368,0.08211159706115723,0.7331821322441101,0.22813266515731812,0.991130530834198,-0.07288701087236404,0.6964623928070068,0.2608204782009125,0.9900047183036804
3,-0.013100679032504559,-0.6347131729125977,-0.38115257024765015,0.9999865293502808,0.015060878358781338,-0.6512252688407898,-0.35893967747688293,0.9999690055847168,-0.012487412430346012,-0.6624546051025391,-0.39104050397872925,0.9999828934669495,0.09578712284564972,-0.6264468431472778,-0.2633153200149536,0.9999696612358093,-0.05689080432057381,-0.5963443517684937,-0.2436513900756836,0.999937117099762,0.18382473289966583,-0.44786956906318665,-0.13659235835075378,0.9999919533729553,-0.12290798872709274,-0.5145061016082764,-0.05737760663032532,0.9999792575836182,0.21378183364868164,-0.23421324789524078,-0.08682705461978912,0.9918042421340942,-0.1429445743560791,-0.20463167130947113,-0.06815630942583084,0.9716933369636536,0.19455814361572266,-0.01095136720687151,-0.0650978535413742,0.9931852221488953,-0.16135632991790771,-0.0043411217629909515,-0.15470443665981293,0.9914765954017639,0.0904659554362297,0.003228095592930913,0.01629984937608242,0.9999915361404419,-0.08829794079065323,-0.006024487782269716,-0.014305411837995052,0.9999894499778748,0.08864708244800568,0.39949947595596313,0.03056810423731804,0.9869369268417358,-0.05438036099076271,0.32270577549934387,0.0647614598274231,0.9652599692344666,0.083173006772995,0.7368025779724121,0.23320624232292175,0.9898533225059509,-0.07246696949005127,0.6978257298469543,0.25832292437553406,0.9894320964813232
4,-0.015622415579855442,-0.6347165703773499,-0.3854598104953766,0.9999871253967285,0.012382043525576591,-0.6512199640274048,-0.3629648685455322,0.9999701976776123,-0.015525925904512405,-0.6623967289924622,-0.394650936126709,0.9999836087226868,0.09471060335636139,-0.6262208223342896,-0.2666054368019104,0.9999709725379944,-0.05971100926399231,-0.5958839058876038,-0.24563206732273102,0.999939501285553,0.1836256980895996,-0.44661426544189453,-0.13693761825561523,0.9999921321868896,-0.12445972859859467,-0.5139016509056091,-0.05827435106039047,0.9999803304672241,0.2132558822631836,-0.2334287017583847,-0.09036287665367126,0.9917572140693665,-0.14532017707824707,-0.20446164906024933,-0.06315949559211731,0.9727113842964172,0.19457808136940002,-0.009991435334086418,-0.06784127652645111,0.9929366111755371,-0.16324706375598907,-0.004603656940162182,-0.1456640362739563,0.9916531443595886,0.09124123305082321,0.0033154438715428114,0.016809208318591118,0.9999914765357971,-0.08911552280187607,-0.006088420283049345,-0.014788559637963772,0.9999896287918091,0.09234663844108582,0.3994669020175934,0.03054990991950035,0.9863100647926331,-0.05240699276328087,0.32225939631462097,0.06557053327560425,0.9649572372436523,0.08619116246700287,0.7364439368247986,0.24628712236881256,0.9885870814323425,-0.07107031345367432,0.6973899006843567,0.2736688256263733,0.9888570308685303
5,-0.018259374424815178,-0.6347162127494812,-0.38528627157211304,0.9999873638153076,0.009538581594824791,-0.65120530128479,-0.3628990054130554,0.9999704957008362,-0.01849200576543808,-0.6623222231864929,-0.3944961428642273,0.9999839663505554,0.09255550056695938,-0.625917375087738,-0.2668394148349762,0.999971330165863,-0.06273508071899414,-0.5954057574272156,-0.245692640542984,0.9999406933784485,0.18266195058822632,-0.4455019235610962,-0.13631194829940796,0.9999921917915344,-0.12654973566532135,-0.5129561424255371,-0.05879727005958557,0.9999812245368958,0.21075546741485596,-0.23264048993587494,-0.08858583122491837,0.9913856983184814,-0.14712107181549072,-0.20418782532215118,-0.061907775700092316,0.9736534357070923,0.19396941363811493,-0.008537647314369678,-0.06643876433372498,0.9924184679985046,-0.16432242095470428,-0.004773169290274382,-0.1444760411977768,0.9918597340583801,0.09179253876209259,0.003349859965965152,0.017548570409417152,0.9999914169311523,-0.08969996869564056,-0.006114792078733444,-0.015494977124035358,0.9999898076057434,0.0939231887459755,0.3994371294975281,0.03098302334547043,0.985406756401062,-0.05179804936051369,0.32167646288871765,0.06729411333799362,0.9643361568450928,0.08939316123723984,0.7361673712730408,0.25130435824394226,0.987351655960083,-0.07117431610822678,0.6968400478363037,0.2755170166492462,0.9882823824882507
6,-0.021071065217256546,-0.6347411870956421,-0.3859337568283081,0.999987781047821,0.007018578704446554,-0.6512256860733032,-0.36370423436164856,0.9999713897705078,-0.020974278450012207,-0.6623271703720093,-0.39510464668273926,0.9999845027923584,0.09123267233371735,-0.6257187724113464,-0.26827770471572876,0.9999722838401794,-0.06387154757976532,-0.5952668190002441,-0.2461065798997879,0.9999426007270813,0.1820237785577774,-0.44431421160697937,-0.13656499981880188,0.999992311000824,-0.12756823003292084,-0.5124334096908569,-0.059499889612197876,0.9999820590019226,0.2092989832162857,-0.23130950331687927,-0.09051277488470078,0.9913005232810974,-0.1485411673784256,-0.20409737527370453,-0.061716921627521515,0.9745286107063293,0.19366145133972168,-0.007358659524470568,-0.06921014934778214,0.9922379851341248,-0.16470561921596527,-0.004800801165401936,-0.14501097798347473,0.9920060634613037,0.09222667664289474,0.00338452635332942,0.018020665273070335,0.9999914169311523,-0.0901588648557663,-0.0061457715928554535,-0.015969451516866684,0.9999899864196777,0.09405900537967682,0.39942485094070435,0.03165251761674881,0.984770655632019,-0.05091005936264992,0.32107406854629517,0.068275585770607,0.9642751812934875,0.08960384130477905,0.7358154654502869,0.25388863682746887,0.9864438772201538,-0.07098636776208878,0.6961895227432251,0.2754454016685486,0.9879579544067383
7,-0.021087924018502235,-0.6347703337669373,-0.38564518094062805,0.9999878406524658,0.0069771925918757915,-0.6512331366539001,-0.36343660950660706,0.9999710321426392,-0.02099546045064926,-0.6623184680938721,-0.39488980174064636,0.9999845623970032,0.09100550413131714,-0.6256061792373657,-0.2681753933429718,0.9999719262123108,-0.0642453134059906,-0.5951270461082458,-0.24607332050800323,0.9999427795410156,0.18201608955860138,-0.4437413513660431,-0.1338326632976532,0.9999922513961792,-0.127949520945549,-0.5121551752090454,-0.060149185359478,0.9999827742576599,0.20867449045181274,-0.23068279027938843,-0.0831671953201294,0.9910088777542114,-0.14897720515727997,-0.20378689467906952,-0.0617411844432354,0.9754356145858765,0.19368840754032135,-0.006284426432102919,-0.06115381047129631,0.9919458627700806,-0.16482369601726532,-0.003991421312093735,-0.1452009379863739,0.9922083616256714,0.09274736046791077,0.0034474574495106936,0.019301122054457664,0.9999912977218628,-0.09068302065134048,-0.00620459858328104,-0.017260925844311714,0.9999901056289673,0.09523959457874298,0.39956629276275635,0.03175912797451019,0.9839264750480652,-0.05032610520720482,0.3210550546646118,0.0637761577963829,0.9642238020896912,0.09155046939849854,0.7356350421905518,0.25208550691604614,0.9854928255081177,-0.071315236389637,0.6966014504432678,0.26546838879585266,0.9877132177352905
8,-0.021168099716305733,-0.635399580001831,-0.385281503200531,0.9999878406524658,0.0069358921609818935,-0.6517021656036377,-0.3630927503108978,0.9999707341194153,-0.021028591319918633,-0.662774384021759,-0.39460399746894836,0.9999845623970032,0.09029492735862732,-0.625617265701294,-0.2678646743297577,0.9999716877937317,-0.06496670097112656,-0.5952797532081604,-0.24611741304397583,0.9999427795410156,0.18127812445163727,-0.44363898038864136,-0.13172750174999237,0.9999921917915344,-0.12918047606945038,-0.5120849609375,-0.06182404235005379,0.9999833106994629,0.20836667716503143,-0.23035655915737152,-0.08088824898004532,0.9907025098800659,-0.14897751808166504,-0.20328503847122192,-0.06405594944953918,0.9761844873428345,0.19419391453266144,-0.00621821591630578,-0.060122787952423096,0.9916515350341797,-0.16470621526241302,-0.003055828856304288,-0.14638885855674744,0.992357611656189,0.09293432533740997,0.003454783232882619,0.020481163635849953,0.9999911785125732,-0.09086909890174866,-0.00620926171541214,-0.01842741295695305,0.9999901652336121,0.09499676525592804,0.3999050259590149,0.03324366360902786,0.9830445647239685,-0.05008489638566971,0.32104384899139404,0.06107615306973457,0.9636681079864502,0.09140755981206894,0.7354142665863037,0.25107675790786743,0.9846137166023254,-0.07153443247079849,0.6965888738632202,0.2598850727081299,0.9873055219650269
9,-0.021068084985017776,-0.6352197527885437,-0.39390164613723755,0.9999880790710449,0.007000047247856855,-0.6513959765434265,-0.37111425399780273,0.9999710917472839,-0.020898746326565742,-0.6625417470932007,-0.40321800112724304,0.9999849200248718,0.09035459160804749,-0.624360203742981,-0.2748098373413086,0.9999722838401794,-0.06463602185249329,-0.5948340892791748,-0.2545486390590668,0.9999440908432007,0.18129007518291473,-0.44262200593948364,-0.13601745665073395,0.9999921321868896,-0.12925127148628235,-0.5114076733589172,-0.0693197175860405,0.9999838471412659,0.20962096750736237,-0.22964829206466675,-0.08347253501415253,0.9904806613922119,-0.14921218156814575,-0.20285336673259735,-0.06853973120450974,0.9768847823143005,0.19572418928146362,-0.005336172878742218,-0.059750352054834366,0.99105304479599,-0.16462944447994232,-0.001085161929950118,-0.1469571888446808,0.9923747777938843,0.0930386334657669,0.0034948268439620733,0.020458023995161057,0.9999913573265076,-0.09098225086927414,-0.006233529187738895,-0.018403997644782066,0.9999904632568359,0.09477099031209946,0.40072566270828247,0.033355530351400375,0.9833938479423523,-0.050134483724832535,0.32104283571243286,0.061815131455659866,0.9646944999694824,0.09080417454242706,0.7351937294006348,0.25100764632225037,0.984908938407898,-0.07150903344154358,0.6957595348358154,0.26320287585258484,0.9876171946525574
10,-0.017129866406321526,-0.6352114677429199,-0.3934796452522278,0.9999879598617554,0.01091436855494976,-0.6513457298278809,-0.3704933822154999,0.9999702572822571,-0.01726219430565834,-0.6625037789344788,-0.4029381573200226,0.9999848008155823,0.09174520522356033,-0.6240115761756897,-0.2743156850337982,0.9999716877937317,-0.06440501660108566,-0.5947827696800232,-0.2548016607761383,0.9999443292617798,0.18151676654815674,-0.4421270489692688,-0.13241873681545258,0.9999918341636658,-0.12922243773937225,-0.5114234089851379,-0.07166671007871628,0.9999842643737793,0.2101096212863922,-0.22908660769462585,-0.07867440581321716,0.9900606274604797,-0.14905619621276855,-0.20324167609214783,-0.07329066842794418,0.9779421091079712,0.19650708138942719,-0.00541231594979763,-0.0586765892803669,0.9907558560371399,-0.16333886981010437,-0.0012358308304101229,-0.15161876380443573,0.9926822781562805,0.09328574687242508,0.0035521637182682753,0.02184939570724964,0.9999909996986389,-0.09123201668262482,-0.006280669942498207,-0.019776618108153343,0.9999902844429016,0.0945792868733406,0.40136978030204773,0.03415317088365555,0.9827169179916382,-0.05017772689461708,0.3208966553211212,0.05760816112160683,0.9646906852722168,0.09070267528295517,0.7346144914627075,0.2541951537132263,0.9842044711112976,-0.07262393087148666,0.6937780976295471,0.26297760009765625,0.9872953295707703
